STA	LON	LAT	X	START_YEAR	START_MONTH	END_YEAR	END_MONTH
ABE	146.389012	-37.719352	2	1978	2	2030	12
ABEM	146.389012	-37.719352	2	1978	2	2030	12
ADE	138.7136	-34.967	2	1909	00	1958	7
ADE	138.7136	-34.967	2	1958	7	2029	12
AKI1	133.858	-19.728	2	1987	1	1987	1
AKI2	133.903	-19.813	2	1987	1	1987	3
ANSTO	150.980	-34.050	2	2013	1	2599	12
APN	150.82345	-34.17086	2	1992	05	1998	06
APPIN	150.80	 -34.20	1	2013	11	2599	12	
ARG	128.427	-16.7092	3	1994	11	1996	11
ARK	139.339	-30.276	1	1987	10	2031	01
ARMA	151.628	-30.4198	1	1991	09	2031	01
ARPS	141.8383	-36.7699	1	2000	11	2037	12
AS01	133.951	-23.665	1	1970	12	2031	01
AS02	133.9370	-23.6790	1	1970	12	2037	12
AS03	133.9200	-23.6740	1	1970	12	2037	12
AS04	133.9290	-23.6600	1	1970	12	2037	12
AS05	133.9480	-23.6490	1	1970	12	2037	12
AS06	133.9710	-23.6480	1	1970	12	2037	12
AS07	133.9700	-23.6650	1	1970	12	2037	12
AS08	133.9600	-23.6810	1	1970	12	2037	12
AS09	133.9410	-23.6990	1	1970	12	2037	12
AS10	133.9140	-23.6970	1	1970	12	2037	12
AS11	133.6980	-23.6780	1	1970	12	2037	12
AS12	133.9040	-23.6660	1	1970	12	2037	12
AS13	133.8940	-23.6520	1	1970	12	2037	12
AS14	133.9100	-23.6520	1	1970	12	2037	12
AS15	133.9120	-23.6350	1	1970	12	2037	12
AS16	133.9300	-23.6370	1	1970	12	2037	12
AS17	133.9920	-23.6650	1	1970	12	2037	12
AS18	133.9810	-23.6900	1	1970	12	2037	12
AS19	133.962	-23.704	1	1970	12	2031	01
AS31	133.9040	-23.6660	1	2005	6	2037	12
ASAR	133.9044	-23.66664	1	1998	1	2025	12
ASC	149.139	-35.289	1	1994	1	1997	12
ASP	133.900558	-23.68339	1	1970	12	2029	12
AUBRM	122.2321	-17.9565	1	2019	07	2019	07
AUALB	117.904602	-34.9995	1	2012	09	2599	12
AUALC	133.883499	-23.689899	1	2015	08	2599	12
AUAPY	132.1353	-26.284401	1	2018	06	2599	12
AUAYR	147.408798	-19.5774	1	2013	08	2599	12
AUBRM	122.232101	-17.956499	1	2019	07	2599	12
AUBRN	145.868378	-41.04052	1	2017	07	2599	12
AUBSH	152.954697	-26.864	1	2013	08	2599	12
AUBUS	115.382797	-33.660099	1	2013	10	2599	12
AUCAR	113.6586	-24.885099	1	2013	09	2599	12
AUCAS	135.721893	-34.263699	1	2013	08	2599	12
AUCSH	145.768204	-16.915899	1	2013	09	2599	12
AUDAR	149.137695	-35.252998	1	2012	04	2599	12
AUDCS	148.627808	-32.233398	1	2013	05	2599	12
AUDHS	130.832993	-12.44	1	2013	08	2599	12
