DATETIME	MW_MAG	LON	LAT	DEP
201206191053	5.0	146.19	-38.24	11.0
201203230925	5.4	132.126	-26.122	3.0
201204191909	3.5	148.603	-35.231	4.0
200710100000	4.7	117.505	-33.946	0.0
200903180528	4.3	145.87	-38.42	10.0
201202060349	6.7	123.26	10.03	12.0
201208311246	7.6	127.00	11.02	45.0
199609291652	3.5	146.42	-37.86	11.4
199809190548	2.5	146.42	-37.86	11.0
201206211856	7.6	180.0	-10.0	20.0
201306091423	5.4	131.994	-26.11	1.0
201605201813	6.1	129.832	-25.579	0.0
201612210017	6.7	127.921	-7.508	152.0
199609250748	4.5	145.0	-38.0	11.0
201004200016	4.2	121.7699	-30.7448	0.0
201704131630	4.0	148.936	-33.455	4.0
201409231154	3.2	151.397	-32.865	4.0
201412031904	3.4	145.442	-38.102	10.0
201412021634	3.4	145.813	-38.436	9.0
201306221157	3.3	146.146	-36.725	11.0
201301121610	3.3	148.918	-34.186	9.0
201308082323	3.4	151.48	-32.615	2.0
201310072014	3.5	150.762	-34.172	1.0
201310241248	3.3	150.789	-34.175	8.0
201604041942	3.4	145.979	-38.572	7.0
201602100503	3.3	148.772	-35.032	1.0
201601301739	3.5	149.08	-35.91	7.0
201206050911	3.3	148.698	-34.337	12.0
201206081130	4.0	150.413	-30.759	1.0
201701031413	3.6	150.718	-34.191	1.0
201701311940	3.5	146.225	-38.455	10.0
201502151557	4.9	151.436	-25.146	13.0
201206220915	3.6	148.644	-34.108	14.0
199408061103	4.7	151.292	-32.917	0.6
199807170121	4.0	148.005	-36.441	20.0
199903170157	4.3	150.748	-34.253	5.3
200008291204	4.2	146.245	-38.402	15.0
200110270800	4.3	143.393	-35.501	9.0
201709280244	3.0	149.184	-34.761	0.0
199706270319	3.8	146.094	-36.781	8.6
199802141822	3.8	148.702	-35.375	8.5
200003161325	3.6	146.103	-37.496	8.4
200108212312	3.6	145.45	-38.183	5.0
200111230332	3.7	148.39	-33.87	4.0
201809160455	5.3	116.737	-34.405	0.0
201810121631	4.4	116.795	-34.406	1.2
201811082106	5.2	116.781	-34.433	0.0
201812161426	5.9	112.645	-23.359	10.0
